timestamp,action,confidence,fps
1778649348.916683,squat,0.7738,0
1778649348.9693117,squat,0.8174,18.68
1778649349.0094447,squat,0.8255,24.35
1778649349.0513847,squat,0.8326,23.56
1778649349.0969741,squat,0.8365,22.11
1778649349.1393123,squat,0.8456,22.98
1778649349.189239,squat,0.852,20.41
1778649349.2390578,squat,0.852,19.81
1778649349.300004,squat,0.8419,17.19
1778649349.3504179,squat,0.8135,19.56
1778649349.4124873,squat,0.8065,16.14
1778649349.4745362,squat,0.8058,16.24
1778649349.5234218,squat,0.8058,19.95
1778649349.5862796,squat,0.7992,16.28
1778649349.6390839,squat,0.6708,18.94
1778649349.7108364,pushup,0.7428,13.85
1778649349.7613256,pushup,0.847,19.63
1778649349.813145,pushup,0.8412,19.67
1778649349.8643193,pushup,0.8405,18.92
1778649349.9172428,pushup,0.866,18.76
1778649349.980204,pushup,0.7705,16.42
1778649350.028276,pushup,0.6924,20.69
1778649350.0889547,pushup,0.7389,16.19
1778649350.1384125,pushup,0.7214,20.52
1778649350.1913826,pushup,0.7716,18.89
1778649350.2421033,pushup,0.8323,19.3
1778649350.2902591,pushup,0.8156,21.55
1778649350.341077,pushup,0.8551,19.37
1778649350.4029136,pushup,0.8575,16.24
1778649350.4528284,pushup,0.8586,20.12
1778649350.4993033,pushup,0.8586,21.47
1778649350.549459,pushup,0.8528,19.93
1778649350.679339,pushup,0.8257,7.69
1778649350.725249,pushup,0.5523,21.93
1778649350.7859404,pushup,0.5435,16.54
1778649350.8331106,pushup,0.5523,20.52
1778649350.88006,pushup,0.6127,21.9
1778649350.9293718,pushup,0.6102,20.4
1778649350.98932,pushup,0.5523,16.47
1778649351.0413156,pushup,0.5523,19.4
1778649351.0894077,pushup,0.5558,20.2
1778649351.152339,pushup,0.642,15.87
1778649351.2161553,pushup,0.6892,15.63
1778649351.2629824,pushup,0.781,21.56
1778649351.310176,pushup,0.7723,21.52
1778649351.3578637,pushup,0.7723,20.93
1778649351.4168663,pushup,0.8264,16.93
1778649351.4669998,pushup,0.93,20.27
1778649351.5162933,pushup,0.91,19.79
1778649351.560135,pushup,0.9184,23.23
1778649351.6153402,pushup,0.9095,18.19
1778649351.659102,pushup,0.9335,22.13
1778649351.7100463,pushup,0.9335,20.03
1778649351.7591653,pushup,0.9052,19.87
1778649351.8170958,pushup,0.8384,17.78
1778649351.860873,pushup,0.9083,22.91
1778649351.9108806,pushup,0.8723,19.78
1778649351.9577198,pushup,0.7171,21.15
1778649352.006397,pushup,0.771,20.68
1778649352.0495148,pushup,0.724,23.01
1778649352.1137593,pushup,0.7877,15.57
1778649352.161118,pushup,0.7943,21.12
1778649352.2043717,pushup,0.8708,23.07
1778649352.2634892,pushup,0.8856,17.18
1778649352.3154435,pushup,0.8603,19.19
1778649352.3681126,pushup,0.8603,19.18
1778649352.4202971,pushup,0.8632,18.58
1778649352.469166,pushup,0.8589,21.17
1778649352.5123096,pushup,0.8676,22.74
1778649352.5619318,pushup,0.8676,19.78
1778649352.6079626,pushup,0.8871,22.23
1778649352.6569848,pushup,0.968,20.37
1778649352.711037,pushup,0.9687,18.75
1778649352.7667234,pushup,0.9659,17.64
1778649352.8130465,pushup,0.8692,21.29
1778649352.8731966,pushup,0.8991,17.08
1778649352.9257686,pushup,0.7606,19.01
1778649352.9776955,pushup,0.7145,18.86
1778649353.0220897,pushup,0.7492,22.44
